Datum,1 mån,3 mån,6 mån
2022-06-20,0.34800,0.58400,0.89400
2022-06-21,0.40100,0.61800,0.89900
2022-06-22,0.40800,0.62500,0.93400
2022-06-23,0.39400,0.63800,0.89800
2022-06-27,0.39500,0.65000,0.90900
2022-06-28,0.39700,0.62700,0.91900
2022-06-29,0.39900,0.60400,0.91300
2022-06-30,0.40600,0.63600,0.88700
2022-07-01,0.24000,0.46800,0.72000
2022-07-04,0.43800,0.63400,0.88400
2022-07-05,0.33300,0.56600,0.81800
2022-07-06,0.48100,0.58300,0.83100
2022-07-07,0.56200,0.61200,0.88000
2022-07-08,0.54100,0.66700,0.91500
2022-07-11,0.56700,0.64500,0.87500
2022-07-12,0.54100,0.66500,0.88800
2022-07-13,0.67900,0.78000,0.92300
2022-07-14,0.71100,1.00100,0.96000
2022-07-15,0.79800,1.05600,1.01300
2022-07-18,0.63200,0.81100,0.95100
2022-07-19,0.69600,0.86900,0.95000
2022-07-20,0.54200,0.86600,0.95900
2022-07-21,0.61200,0.90500,1.02900
2022-07-22,0.57500,0.85100,0.97000
2022-07-25,0.61900,0.89200,1.02100
2022-07-26,0.66800,0.90300,1.03300
2022-07-27,0.60800,0.88300,1.02300
2022-07-28,0.49600,0.81500,0.90300
2022-07-29,0.60200,0.91000,0.97200
2022-08-01,0.59300,0.86500,0.97300
2022-08-02,0.69500,0.93800,1.02800
2022-08-03,0.63200,0.87300,1.04800
2022-08-04,0.56200,0.99100,1.01200
2022-08-05,0.72300,1.08200,1.11300
2022-08-08,0.67100,1.05600,1.04700
2022-08-09,0.72300,1.07100,1.22900
2022-08-10,0.69600,1.13700,1.30300
2022-08-11,0.78200,1.13500,1.31600
2022-08-12,0.72300,1.02800,1.30700
2022-08-15,0.51600,1.01900,1.30200
2022-08-16,0.71200,1.00200,1.32400
2022-08-17,0.71200,1.09100,1.32000
2022-08-18,0.78300,1.07900,1.33600
2022-08-19,0.82300,1.16000,1.33900
2022-08-22,0.67100,1.18300,1.33500
2022-08-23,0.68300,1.20600,1.32300
2022-08-24,0.69500,1.26500,1.33900
2022-08-25,0.64400,1.25300,1.33600
2022-08-26,0.69000,1.29800,1.34000
2022-08-29,0.70600,1.43400,1.31700
2022-08-30,0.75900,1.42400,1.73000
2022-08-31,0.78000,1.43800,1.71500
2022-09-01,0.65500,1.41700,1.73000
2022-09-02,0.65000,1.39100,1.71600
2022-09-05,0.67100,1.49400,1.72100
2022-09-06,0.69500,1.50500,1.71700
2022-09-07,0.66200,1.46900,1.71600
2022-09-08,0.80300,1.54300,1.73200
2022-09-09,1.12700,1.38700,1.65500
2022-09-12,1.15900,1.28900,1.64600
2022-09-13,1.25800,1.49500,1.72200
2022-09-14,1.19700,1.46500,1.69100
2022-09-15,1.30500,1.42900,1.68000
2022-09-16,1.27500,1.46100,1.69000
2022-09-19,1.29500,1.44900,1.66600
2022-09-20,1.38300,1.51000,1.69300
2022-09-21,1.40900,1.58500,1.67700
2022-09-22,1.38800,1.50800,1.69400
2022-09-23,1.36800,1.62500,1.71700
2022-09-26,1.34700,1.61900,1.71000
2022-09-27,1.32300,1.63000,1.71600
2022-09-28,1.33600,1.62700,1.68600
2022-09-29,1.40500,1.62000,1.69200
2022-09-30,1.47500,1.69300,1.75100
2022-10-03,1.39900,1.60500,1.66300
2022-10-04,1.50700,1.65100,1.74300
2022-10-05,1.45100,1.61900,1.71000
2022-10-06,1.45100,1.65600,1.76700
2022-10-07,1.45100,1.66400,1.72100
2022-10-10,1.45100,1.68800,1.72700
2022-10-11,1.51200,1.65400,1.72400
2022-10-12,1.74300,1.66300,1.72100
2022-10-13,1.58600,1.72600,1.77600
2022-10-14,1.52700,1.58900,1.74800
2022-10-17,1.55600,1.56200,1.72000
2022-10-18,1.58700,1.53900,1.69700
2022-10-19,1.55000,1.55200,1.72100
2022-10-20,1.62600,1.60700,1.75800
2022-10-21,1.48400,1.52200,1.69200
2022-10-24,1.57300,1.55800,1.71700
2022-10-25,1.54200,1.56300,1.72200
2022-10-26,1.56600,1.56500,1.71000
2022-10-27,1.49700,1.55900,1.74600
2022-10-28,1.59700,1.55600,1.76500
2022-10-31,1.55500,1.56200,1.77300
2022-11-01,1.56300,1.58300,1.78900
2022-11-02,1.57300,1.56500,1.78800
2022-11-03,1.49100,1.55900,1.80200
2022-11-04,1.49600,1.56100,1.77300
2022-11-07,1.55500,1.56200,1.78700
2022-11-08,1.63300,1.56400,1.77800
2022-11-09,1.74300,1.56000,1.77400
2022-11-10,1.63300,1.49700,1.74300
2022-11-11,1.83800,1.66900,1.77000
2022-11-14,1.69200,1.67900,1.77500
2022-11-15,1.85000,1.67700,1.77200
2022-11-16,1.68400,1.68000,1.77400
2022-11-17,1.68300,1.71800,1.80900
2022-11-18,1.90600,1.68200,1.77600
2022-11-21,1.76500,1.73300,1.82800
2022-11-22,1.96700,1.73200,1.82800
2022-11-23,1.91600,1.75300,1.84800
2022-11-24,2.16900,1.80100,1.89000
2022-11-25,2.13500,1.83400,1.93300
2022-11-28,2.20200,1.83400,1.93000
2022-11-29,2.14800,1.85900,1.94900
2022-11-30,2.14600,1.83900,1.93200
2022-12-01,2.13800,1.89100,1.97200
2022-12-02,2.28300,1.84000,1.93600
2022-12-05,2.13200,1.86700,2.01600
2022-12-06,2.12800,1.86700,2.01500
2022-12-07,2.27600,1.87900,2.02400
2022-12-08,1.63000,2.07400,2.50900
2022-12-09,1.60400,2.00500,2.51600
2022-12-12,1.59800,2.01900,2.49800
2022-12-13,1.77500,2.02100,2.51600
2022-12-14,1.61800,2.02300,2.51500
2022-12-15,1.62200,2.10800,2.51600
2022-12-16,1.61500,2.05900,2.51600
2022-12-19,1.62100,2.06200,2.51700
2022-12-20,1.68200,2.08700,2.53100
2022-12-21,1.62000,2.06300,2.51600
2022-12-22,1.62500,2.14100,2.51700
2022-12-23,1.63400,2.06400,2.51700
2022-12-27,1.61600,2.07200,2.52300
2022-12-28,1.62400,2.07500,2.55000
2022-12-29,1.63400,2.12700,2.51300
2022-12-30,1.62200,2.08900,2.55600
2023-01-02,1.66000,2.07200,2.52300
2023-01-03,2.29800,2.51000,2.72200
2023-01-04,2.30700,2.64900,2.72100
2023-01-05,2.26600,2.52300,2.72100
2023-01-09,2.34200,2.54600,2.72000
2023-01-10,2.30700,2.54600,2.72100
2023-01-11,2.33100,2.54500,2.71900
2023-01-12,2.36800,2.63400,2.72000
2023-01-13,2.38900,2.80300,2.82200
2023-01-16,2.51500,2.72800,2.82300
2023-01-17,2.51300,2.73000,2.82300
2023-01-18,2.52600,2.70200,2.82200
2023-01-19,2.74700,2.72400,2.81900
2023-01-20,2.53700,2.71700,2.81800
2023-01-23,2.55400,2.72300,2.83000
2023-01-24,2.55400,2.72500,2.81900
2023-01-25,2.55400,2.77700,2.77400
2023-01-26,2.39200,2.78500,2.77300
2023-01-27,2.43000,2.77800,2.77400
2023-01-30,2.44800,2.80500,2.78300
2023-01-31,2.38300,2.77400,2.87900
2023-02-01,2.43000,2.78200,2.88900
2023-02-02,2.43000,2.78000,2.89100
2023-02-03,2.41400,2.77800,2.89000
2023-02-06,2.44700,2.78100,2.89000
2023-02-07,2.43000,2.77900,2.89200
2023-02-08,2.40500,2.78200,2.92600
2023-02-09,2.87600,3.07400,3.06900
2023-02-10,2.87400,3.07500,3.07000
2023-02-13,2.87200,3.07600,3.07100
2023-02-14,2.91100,3.13600,3.13200
2023-02-15,2.91100,3.13800,3.13000
2023-02-16,2.90800,3.13600,3.13100
2023-02-17,2.90800,3.13900,3.13300
2023-02-20,2.90700,3.13600,3.13100
2023-02-21,2.90600,3.13900,3.13300
2023-02-22,2.96300,3.19600,3.18900
2023-02-23,3.01700,3.19600,3.18800
2023-02-24,3.02300,3.19400,3.19100
2023-02-27,3.03000,3.19300,3.18900
2023-02-28,3.00900,3.19600,3.18800
2023-03-01,3.01600,3.19500,3.19000
2023-03-02,3.00500,3.19500,3.19000
2023-03-03,3.01600,3.22000,3.21400
2023-03-06,3.02900,3.24500,3.25900
2023-03-07,3.04600,3.26000,3.27600
2023-03-08,3.07100,3.28100,3.27200
2023-03-09,3.10800,3.26300,3.27800
2023-03-10,2.92200,3.23900,3.25500
2023-03-13,0.00000,3.24300,3.23900
2023-03-14,0.00000,3.26600,3.25400
2023-03-15,2.89200,3.14000,3.25300
2023-03-16,2.97500,3.23100,3.44240
2023-03-17,3.00200,3.21700,3.45292
2023-03-20,3.00500,3.21600,3.34778
2023-03-21,2.99400,3.24800,3.36880
2023-03-22,2.99600,3.27300,3.45082
2023-03-23,2.98900,3.28000,3.45467
2023-03-24,2.99200,3.28000,3.36926
2023-03-27,2.99500,3.27900,3.36938
2023-03-28,2.99900,3.27000,3.36951
2023-03-29,2.96300,3.28300,3.36964
2023-03-30,3.01700,3.34300,3.33893
2023-03-31,2.94800,3.25700,3.35454
2023-04-03,2.95000,3.27600,3.34785
2023-04-04,2.95200,3.27500,3.32751
2023-04-05,2.87600,3.24100,3.35499
2023-04-06,2.97600,3.29800,3.35506
2023-04-11,2.98400,3.29800,3.39763
2023-04-12,2.92200,3.27000,3.39560
2023-04-13,3.19800,3.40000,3.41115
2023-04-14,3.15600,3.43400,3.40185
2023-04-17,3.15100,3.49300,3.46848
2023-04-18,3.15900,3.50700,3.47424
2023-04-19,3.26800,3.48800,3.50496
2023-04-20,3.26400,3.50700,3.50825
