,portfolio_pct,portfolio_pct_after_costs,portfolio_long_pct,portfolio_short_pct,total_trades
2022-01-11,,,,,2646.0
2022-01-12,,,,,
2022-01-13,,,,,
2022-01-14,,,,,
2022-01-17,,,,,
2022-01-18,1.0003923497879352,1.0003923497879352,0.9832417480620371,1.0175429515138334,
2022-01-19,1.0004368811965079,1.0004368811965079,0.9928723442764071,1.0080014181166088,
2022-01-20,0.9971105949579258,0.9971105949579258,1.0029449030738233,0.9912762868420282,
2022-01-21,0.9990463602040419,0.9990463602040419,0.9818855308164119,1.0162071895916718,
2022-01-24,1.0041830851134836,1.0021830851134836,0.9423456176433128,1.0660205525836544,
2022-01-25,1.0051244607540106,1.0031244607540106,0.9407223613470566,1.0695265601609645,
2022-01-26,1.0044490963969241,1.0024490963969241,0.9609814682720295,1.0479167245218186,
2022-01-27,0.9999791411810257,0.9979791411810257,0.957630384482398,1.0423278978796533,
2022-01-28,1.0024940981826236,1.0004940981826236,0.9598078704354863,1.045180325929761,
2022-01-31,1.005291848752427,1.0013520864980607,0.9784079671565672,1.0275794053946021,
2022-02-01,1.0014751148915717,0.9975353526372056,0.9777536673716124,1.0206002374578467,
2022-02-02,1.0059584641063195,1.0020187018519533,0.9852938736633676,1.0220267295955867,
2022-02-03,1.0044202719098687,1.0004805096555025,0.9603799508422641,1.0438642680237888,
2022-02-04,1.0058211593291522,1.001881397074786,0.9477258551388277,1.0593201385657922,
2022-02-07,1.0052807441404665,0.9998723756784704,0.9560570284213362,1.0510309242619962,
2022-02-08,1.0035232237092637,0.9981148552472676,0.9482695969899042,1.0553033148310225,
2022-02-09,1.0029519071948674,0.9975435387328713,0.9697337846442154,1.0326964941479186,
2022-02-10,1.012260795081777,1.006852426619781,0.9703707384945229,1.0506773160714307,
2022-02-11,1.0094322220613137,1.0040238535993176,0.9620091395585876,1.053381768966439,
2022-02-14,1.0065247126307464,0.9991765650771941,0.9341450090567341,1.0777208277102355,
2022-02-15,1.00811763349724,1.0007694859436878,0.9560088154008989,1.0590428630990578,
2022-02-16,1.0065844578427943,0.999236310289242,0.9446982537428886,1.0672870734481767,
