,portfolio_percentage,portfolio_long_percentage,portfolio_short_percentage,portfolio_percentage_after_costs,portfolio,portfolio_long,portfolio_short,portfolio_after_costs,riskfree,riskfree_daily,benchmark
2022-01-11,1.0004685661201913,1.0,0.9957196952924914,1.0016087184739455,,,,,-0.0017399999999999998,-4.837531516588278e-06,0.008677662264124919
2022-01-12,0.9991620765362282,1.0,0.9833922951082265,1.006465928982115,-0.0013058776939185446,-0.0013058776939185446,-0.0013058776939185446,-0.0013058776939185446,-0.0017699999999999999,-4.921010949732185e-06,0.009927321646985954
2022-01-13,0.9967520115939278,1.0,0.9773872177191302,1.0070584027343628,-0.0024120860858284354,-0.0024120860858284354,-0.0024120860858284354,-0.0024120860858284354,-0.0017399999999999998,-4.837531516588278e-06,-0.002192172670942516
2022-01-14,0.9935564803122036,1.0,0.9921509565229036,0.996481002050752,-0.0032059441511577136,-0.0032059441511577136,-0.0032059441511577136,-0.0032059441511577136,-0.0017699999999999999,-4.921010949732185e-06,-0.02289280628051893
2022-01-17,0.9920095413573564,0.9876665966032678,0.9921509565229036,0.992833298301634,-0.0015569713302669985,-0.0015569713302669985,-0.0015569713302669985,-0.0015569713302669985,-0.0017299999999999998,-4.809705594799318e-06,0.0
2022-01-18,1.0021665616623332,0.9876665966032678,1.0212290777269155,0.9905520227988754,0.010238833278840342,0.010238833278840342,0.010238833278840342,0.010238833278840342,-0.0014099999999999998,-3.919422834064434e-06,-0.02020533128930313
2022-01-19,0.99643583492461,0.9876665966032678,1.0062359884651613,0.9923178406920294,-0.00571833760669227,-0.00571833760669227,-0.00571833760669227,-0.00571833760669227,-0.0014099999999999998,-3.919422834064434e-06,0.005773754844639933
2022-01-20,0.9920298185263352,0.9876665966032678,0.9945027459359772,0.9937784455583464,-0.004421776339073702,-0.004421776339073702,-0.004421776339073702,-0.004421776339073702,-0.00146,-4.058510760129863e-06,0.010283065690227966
2022-01-21,0.9939152941980772,0.9876665966032678,1.012917279245328,0.9864566545754132,0.0019006239898544663,0.0019006239898544663,0.0019006239898544663,0.0019006239898544663,-0.00157,-4.364528646161325e-06,-0.02044964096134294
2022-01-24,0.9950810671303126,0.9299973394435508,1.012917279245328,0.9639986697217756,0.0011729097429535873,0.0011729097429535873,0.0011729097429535873,0.0011729097429535873,-0.0014099999999999998,-3.919422834064434e-06,-0.044500847219660855
