,portfolio_pct,portfolio_pct_after_costs,portfolio_long_pct,portfolio_short_pct,total_trades
2022-01-11,,,,,1791.0
2022-01-12,,,,,
2022-01-13,,,,,
2022-01-14,,,,,
2022-01-17,,,,,
2022-01-18,1.0135490675365815,1.0135490675365815,0.9955332516416147,1.0315648834315483,
2022-01-19,1.0172106224040927,1.0172106224040927,1.0072028906367019,1.0272183541714832,
2022-01-20,1.014135712431777,1.014135712431777,1.0100417772023753,1.0182296476611785,
2022-01-21,1.0229799122481158,1.0229799122481158,1.0064011160869994,1.0395587084092324,
2022-01-24,1.027066364949535,1.025066364949535,0.968342852743773,1.0857898771552974,
2022-01-25,1.0115129408384462,1.0095129408384462,0.9454187923516535,1.0776070893252392,
2022-01-26,1.0180186558864397,1.0160186558864397,0.9732791987379185,1.062758113034961,
2022-01-27,1.0105536733120197,1.0085536733120197,0.9805654557813481,1.0405418908426918,
2022-01-28,1.0141904840247802,1.0121904840247802,0.9807674632428671,1.0476135048066937,
2022-01-31,1.0238011029254375,1.0202698618026205,1.0032026604965454,1.0397981283322695,
2022-02-01,1.035827124921865,1.032295883799048,1.0379390583015446,1.029113774520125,
2022-02-02,1.026467784337576,1.022936543214759,1.026222466473048,1.022111685180044,
2022-02-03,1.0269480907685635,1.0234168496457465,1.0148051675313627,1.0344895969837045,
2022-02-04,1.0262816098289251,1.0227503687061081,1.0055795255322955,1.0423822771034947,
2022-02-07,1.0238126698203653,1.0183428760641955,1.0111913347423465,1.0315415333797868,
2022-02-08,1.016491972535314,1.0110221787791442,0.9934523837879141,1.0346390897641164,
2022-02-09,1.0029552915113829,0.997485497755213,1.001038756137914,0.9999793553662543,
2022-02-10,1.00966275009522,1.0041929563390501,1.0109126105294135,1.003520418142429,
2022-02-11,1.0041847963901935,0.9987150026340237,0.9962926406935464,1.0071844805682433,
2022-02-14,1.006756682932246,0.9993413262761415,0.9565203477877371,1.0529432840331985,
2022-02-15,1.016835923725036,1.0094205670689314,0.9741206860856023,1.055501427320913,
2022-02-16,1.023399503411322,1.0159841467552173,0.9886164612701644,1.0541328115089228,
2022-02-17,1.0451037401485976,1.037688383492493,0.9867538681560429,1.099403878097596,
2022-02-18,1.050020938173411,1.0426055815173063,0.9696257921762779,1.1263663501269874,
2022-02-21,1.0550568564114566,1.0452870578424223,0.9473112813033558,1.1641127242249567,
2022-02-22,1.0608941871626485,1.0511243885936141,0.9876923513823292,1.1354063156483671,
2022-02-23,1.0486331931111892,1.0388633945421548,0.9715241528397043,1.1270525260880735,
2022-02-24,1.0553647838507196,1.0455949852816853,0.9398451900578362,1.1721946703490023,
2022-02-25,1.0570232800640826,1.0472534814950483,0.9647328680287386,1.150623984804826,
2022-02-28,1.05119151619344,1.0396805225741987,0.9570344002835801,1.1436346128586217,
2022-03-01,1.0590971286500084,1.0475861350307671,0.9331700212952565,1.1833102167600824,
2022-03-02,1.0526661122464844,1.0411551186272432,0.9173490242130156,1.186269181035275,
2022-03-03,1.0568712506147955,1.0453602569955542,0.8931182141735468,1.218910267811366,
2022-03-04,1.0585445270911342,1.0470335334718932,0.8734521249054653,1.2419229100321252,
2022-03-07,1.062598916508652,1.0491955501220367,0.8687383881345841,1.2739675269357136,
2022-03-08,1.0695100096348509,1.0561066432482356,0.8838722296761027,1.2726558716465928,
2022-03-09,1.0860305844542704,1.072627218067655,0.974571613851663,1.2149976371098714,
2022-03-10,1.087732690851767,1.0743293244651517,0.9619336159514685,1.2310398478050593,
2022-03-11,1.0851066428541107,1.0717032764674954,0.9944757507137436,1.1932456170474715,
2022-03-14,1.0824350005414636,1.0667879550309742,0.9936700195156682,1.1383242789271983,
2022-03-15,1.0926349103408026,1.0769878648303133,0.9986294691500155,1.153764648891529,
2022-03-16,1.0778284080887548,1.0621813625782655,1.0211346767481382,1.1016464367893106,
2022-03-17,1.0765318527746015,1.0608848072641122,1.0376036890999394,1.082584313809203,
2022-03-18,1.0763588542731475,1.0607118087626581,1.051493592022173,1.0683484138840615,
2022-03-21,1.089574118258811,1.0720103343262004,1.0605394718499497,1.0767357182495283,
2022-03-22,1.0799190436463961,1.0623552597137855,1.0489238268155618,1.0690412140590866,
2022-03-23,1.078864846982678,1.0613010630500677,1.0341021355566096,1.0817545119906027,
2022-03-24,1.077053338860277,1.0594895549276664,1.0370346022387844,1.0751990290636255,
2022-03-25,1.0776471629221192,1.0600833789895086,1.040971552251846,1.0724497271742486,
2022-03-28,1.0894797719071032,1.0699878902228324,1.0415624181615768,1.0958161145652885,
2022-03-29,1.0803564260868184,1.0608645444025475,1.0544355559408567,1.064696285145439,
2022-03-30,1.0798375573681143,1.0603456756838434,1.051081660639928,1.0670124430089596,
2022-03-31,1.088224123590764,1.068732241906493,1.047950926803565,1.0869163092906218,
2022-04-01,1.0893820799747003,1.0698901982904294,1.0560591532645198,1.0811239955975398,
