,p_pct,l_pct,s_pct,pac_pct,p,l,s,pac,riskfree,riskfree_daily,benchmark,p_return_ann,l_return_ann,s_return_ann,pac_return_ann,benchmark_return_ann,p_alpha,l_alpha,s_alpha,pac_alpha,p_sr,l_sr,s_sr,pac_sr,p_std_dev,l_std_dev,s_std_dev,pac_std_dev,total_trades
2022-01-11,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,0.005721889554225035,0.004809749993023527,-0.2693551155285019,0.39109135824362173,-0.08996461522447852,-0.24543130049032447,-0.05104594790917477,-0.21589777120693698,0.2101474939798841,-0.13586699946105554,-0.10539816523651768,-0.9324200635221588,2.26230738223823,-0.9565400399453948,0.09815230549739039,0.3051306482616493,0.16617394182991332,0.1098954918151278,
2022-01-12,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,-0.000352827026550262,,,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,-0.0014559251742697343,,,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,-0.013917730747139201,,,,,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,-0.0017299999999999998,-4.809705594799318e-06,-0.008110045703019986,,,,,,,,,,,,,,,,,,
2022-01-18,1.0030925320024946,0.9807196928429432,1.0254653711620458,1.0030925320024946,,,,,-0.0014099999999999998,-3.919422834064434e-06,-0.00682115914532222,,,,,,,,,,,,,,,,,,
2022-01-19,1.0016101464852842,0.9782072436811524,1.0250130492894165,1.0016101464852842,-0.0014778153260208704,-0.0025618422675980357,-0.00044108936815367983,-0.0014778153260208704,-0.0014099999999999998,-3.919422834064434e-06,-0.002683525880105564,,,,,,,,,,,,,,,,,,
2022-01-20,1.0033938413422898,0.986462847562801,1.0203248351217784,1.0033938413422898,0.0017808274639237176,0.008439524379906915,-0.004573809251392613,0.0017808274639237176,-0.00146,-4.058510760129863e-06,0.02070506681260542,,,,,,,,,,,,,,,,,,
2022-01-21,0.9937876131143264,0.960782422936519,1.0267928032921338,0.9937876131143264,-0.009573736485279483,-0.026032835083175332,0.006339126470035872,-0.009573736485279483,-0.00157,-4.364528646161325e-06,-0.02721058040302038,,,,,,,,,,,,,,,,,,
2022-01-24,0.9943870144511204,0.9091115467110726,1.0796624821911682,0.9923870144511204,0.0006031483275541483,-0.05377999741868755,0.05149011439262341,-0.0014093541162348844,-0.0014099999999999998,-3.919422834064434e-06,-0.05658644130075319,,,,,,,,,,,,,,,,,,
2022-01-25,0.9955704275717367,0.9145749753711376,1.076565879772336,0.9935704275717367,0.0011900930959658496,0.006009635099048394,-0.002868120796925,0.001192491541488927,-0.0014299999999999998,-3.97505717109059e-06,0.0006815968841284992,,,,,,,,,,,,,,,,,,
2022-01-26,0.992808001739813,0.9346636878939022,1.050952315585724,0.990808001739813,-0.0027747166402496415,0.021965080024863415,-0.023791915263029262,-0.0027803019849081956,-0.0014000000000000002,-3.8916060821625464e-06,0.03138075313807542,,,,,,,,,,,,,,,,,,
2022-01-27,0.991593913343182,0.9271854369584952,1.0560023897278692,0.989593913343182,-0.001222883371712724,-0.00800100724171482,0.004805236229324494,-0.0012253518285066933,-0.00146,-4.058510760129863e-06,4.7172036416798235e-05,,,,,,,,,,,,,,,,,,
2022-01-28,0.9884207990945838,0.9186002630792134,1.0582413351099542,0.9864207990945838,-0.0032000138422593194,-0.009259392498057628,0.0021202086319729307,-0.0032064811695116102,-0.00148,-4.114147875156071e-06,-0.0009433962264150386,,,,,,,,,,,,,,,,,,
2022-01-31,0.9840811649917376,0.9291140891390236,1.033528134731937,0.9801171190079718,-0.004390472263252065,0.011445485574505643,-0.02335308549958459,-0.0063904573914074225,-0.00149,-4.14196684950241e-06,0.026440037771482405,,,,,,,,,,,,,,,,,,
2022-02-01,0.9782098175593328,0.9307473478486789,1.0201521811574716,0.9742457715755668,-0.005966324365586306,0.0017578666912356766,-0.012942031401916854,-0.005990454934965084,-0.00132,-3.6690820672813373e-06,0.014949402023919145,,,,,,,,,,,,,,,,,,
2022-02-02,0.9736924090503184,0.9330340323879804,1.0088306796001414,0.9697283630665524,-0.0046180363639014566,0.002456826274699564,-0.011097855561593595,-0.004636826395159721,-0.00134,-3.7247114044181018e-06,-0.0004532064355313725,,,,,,,,,,,,,,,,,,
2022-02-03,0.9817882482418342,0.9287669562998596,1.029289434071294,0.9778242022580684,0.008314575646545252,-0.004573333812058045,0.020279671192455773,0.008348563886400928,-0.0013,-3.6134538410337314e-06,-0.020040807073226086,,,,,,,,,,,,,,,,,,
2022-02-04,0.9814192426060196,0.914896490950733,1.0424218881487917,0.977455196622254,-0.00037585053240896116,-0.014934279535940398,0.012758757296820855,-0.0003773742099677513,-0.00132,-3.6690820672813373e-06,-0.007680562624346465,,,,,,,,,,,,,,,,,,
2022-02-07,0.9838793974285264,0.91809120762906,1.0453659585975277,0.97795592996074,0.0025067317978952897,0.003491888656177,0.002824260006631496,0.0005122826501064992,-0.00134,-3.7247114044181018e-06,-0.002564461230008863,,,,,,,,,,,,,,,,,,
2022-02-08,0.9856218985224128,0.9146197224721802,1.0523224459421805,0.9796984310546264,0.0017710515114359726,-0.003781198565058541,0.0066545952519687646,0.0017817787494334159,-0.0013,-3.6134538410337314e-06,-0.011593118922961776,,,,,,,,,,,,,,,,,,
