,p_pct,l_pct,s_pct,pac_pct,p,l,s,pac,riskfree,riskfree_daily,benchmark,p_return_ann,l_return_ann,s_return_ann,pac_return_ann,benchmark_return_ann,p_alpha,l_alpha,s_alpha,pac_alpha,p_sr,l_sr,s_sr,pac_sr,p_std_dev,l_std_dev,s_std_dev,pac_std_dev,total_trades
2022-01-11,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,0.0065649903596012305,0.04897688218321883,-0.16236368257585598,0.3189163110338702,-0.05026326158770711,-0.08106819824627565,0.0031414382883598532,-0.13948917750270168,0.23278703166918946,-0.09177269693564419,0.38299738927019167,-0.5380680177988925,1.4775095885972158,-0.6738349923952767,0.08830885072476531,0.32991833673412585,0.2055901974998932,0.09708324030687177,
2022-01-12,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,0.008587889018534689,,,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,-0.0029180460737880942,,,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,-0.021984602430930034,,,,,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,-0.0017299999999999998,-4.809705594799318e-06,-0.009883572489277737,,,,,,,,,,,,,,,,,,
2022-01-18,1.0033967022848185,0.9778805835570664,1.0289128210125704,1.0033967022848185,,,,,-0.0014099999999999998,-3.919422834064434e-06,-0.02108313648846405,,,,,,,,,,,,,,,,,,
2022-01-19,0.999846647818846,0.9842764341665184,1.0154168614711738,0.999846647818846,-0.003538036808262035,0.006540523165095458,-0.013116718215363421,-0.003538036808262035,-0.0014099999999999998,-3.919422834064434e-06,0.004309870030825946,,,,,,,,,,,,,,,,,,
2022-01-20,0.9907773147577824,0.9886752596012524,0.992879369914312,0.9907773147577824,-0.009070724076385317,0.004469095552875668,-0.022195309544307373,-0.009070724076385317,-0.00146,-4.058510760129863e-06,0.01151166952015581,,,,,,,,,,,,,,,,,,
2022-01-21,1.0005528156117036,0.9787303560615184,1.0223752751618889,1.0005528156117036,0.009866496445077644,-0.010058817031332379,0.029707440945341057,0.009866496445077644,-0.00157,-4.364528646161325e-06,-0.01889777203610221,,,,,,,,,,,,,,,,,,
2022-01-24,0.9997454205490652,0.934094212698696,1.0653966283994345,0.9977454205490652,-0.0008069489686506337,-0.04560617036794634,0.04207980599954686,-0.0028058439482997466,-0.0014099999999999998,-3.919422834064434e-06,-0.04947184241192337,,,,,,,,,,,,,,,,,,
2022-01-25,0.9980779779855784,0.9315270568633088,1.0646288991078483,0.9960779779855784,-0.001667867168194781,-0.002748283631872961,-0.0007206042060969864,-0.0016712104402034633,-0.0014299999999999998,-3.97505717109059e-06,0.011819124149196947,,,,,,,,,,,,,,,,,,
2022-01-26,0.9947079077381068,0.9599132699717364,1.0295025455044775,0.9927079077381068,-0.00337656007025966,0.030472773602530978,-0.032993988452508116,-0.003383339780573258,-0.0014000000000000002,-3.8916060821625464e-06,0.02849669276067579,,,,,,,,,,,,,,,,,,
2022-01-27,0.9883830911428922,0.94597947243933,1.0307867098464545,0.9863830911428922,-0.006358466184909206,-0.014515683831328507,0.0012473639308465678,-0.006371276531508374,-0.00146,-4.058510760129863e-06,-0.000343724132145673,,,,,,,,,,,,,,,,,,
2022-01-28,0.9903588620081551,0.9473525052904562,1.0333652187258542,0.9883588620081551,0.0019989929845707355,0.0014514404288135108,0.0025014960464360136,0.0020030461622913,-0.00148,-4.114147875156071e-06,-0.0011149580407968651,,,,,,,,,,,,,,,,,,
2022-01-31,0.9914385458693856,0.960522523323023,1.0175486410927843,0.9874596730082432,0.0010901945775909638,0.01390191925288553,-0.015305893159992201,-0.0009097798729551521,-0.00149,-4.14196684950241e-06,0.01953304201533501,,,,,,,,,,,,,,,,,,
2022-02-01,0.9779823713203848,0.955992038995108,0.9951667763226976,0.9740034984592422,-0.01357237380477394,-0.00471668723835994,-0.021995867191223373,-0.013627062367020604,-0.00132,-3.6690820672813373e-06,0.017975513048051894,,,,,,,,,,,,,,,,,,
2022-02-02,0.977600098245122,0.9598845623687547,0.9905097067985252,0.9736212253839795,-0.00039087931078629623,0.004071711075898099,-0.004679687500602658,-0.00039247608028858405,-0.00134,-3.7247114044181018e-06,0.012301086784547444,,,,,,,,,,,,,,,,,,
2022-02-03,0.971915023452828,0.9333329335123004,1.005691186070392,0.9679361505916856,-0.005815337787403174,-0.027661272925289637,0.015326936392108248,-0.005839103179012817,-0.0013,-3.6134538410337314e-06,-0.019574112052525683,,,,,,,,,,,,,,,,,,
2022-02-04,0.971617734200568,0.9205318438641956,1.0178976972139764,0.9676388613394254,-0.00030587988155983403,-0.013715459069821967,0.012137434744038611,-0.00030713725495057353,-0.00132,-3.6690820672813373e-06,-0.00965678675053494,,,,,,,,,,,,,,,,,,
2022-02-07,0.9697713636476012,0.9241249139703064,1.0116315730983172,0.963904526868672,-0.0019003055296082927,0.0039032545479662506,-0.006155946842997917,-0.0038592233321265157,-0.00134,-3.7247114044181018e-06,0.005826054324920005,,,,,,,,,,,,,,,,,,
2022-02-08,0.9637952411299968,0.8926060922016054,1.03119814983181,0.9579284043510676,-0.006162403574308861,-0.03410666814866736,0.019341603459020362,-0.006199911247453449,-0.0013,-3.6134538410337314e-06,-0.01401274612745651,,,,,,,,,,,,,,,,,,
