,p_pct,l_pct,s_pct,pac_pct,p,l,s,pac,riskfree,riskfree_daily,benchmark,p_return_ann,l_return_ann,s_return_ann,pac_return_ann,p_alpha,l_alpha,s_alpha,pac_alpha,p_sr,l_sr,s_sr,pac_sr,p_std_dev,l_std_dev,s_std_dev,pac_std_dev,total_trades
2022-01-11,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,0.008759913482335957,0.04923628203382946,0.058481927905067455,0.03816677673206126,-0.0503390031885802,0.027946230928046698,0.06421569242036547,-0.00418072297028281,-0.06993037888789319,0.5725378439017668,0.16225317016065574,0.11344473059920183,-1.0221964456442079,0.05952699806773707,0.267033950436742,0.20284726936484543,0.06407166291161126,2940
2022-01-12,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,0.01004181109959612,,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,-0.002158222473818361,,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,-0.022976279119242493,,,,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,-0.0017299999999999998,-4.809705594799318e-06,0.000689530030847374,,,,,,,,,,,,,,,,,
2022-01-18,1.0003923497879352,0.9832417480620372,1.0175429515138334,1.0003923497879352,,,,,-0.0014099999999999998,-3.919422834064434e-06,-0.02016392253572208,,,,,,,,,,,,,,,,,
2022-01-19,1.000436881196508,0.9928723442764072,1.0080014181166088,1.000436881196508,4.451394353655047e-05,0.00979473891680449,-0.009377032569514054,4.451394353655047e-05,-0.0014099999999999998,-3.919422834064434e-06,0.005884965578503154,,,,,,,,,,,,,,,,,
2022-01-20,0.9971105949579258,1.0029449030738231,0.9912762868420282,0.9971105949579258,-0.00332483368126546,0.010144867923334688,-0.016592368794312362,-0.00332483368126546,-0.00146,-4.058510760129863e-06,0.010192442138573288,,,,,,,,,,,,,,,,,
2022-01-21,0.999046360204042,0.981885530816412,1.0162071895916718,0.999046360204042,0.001941374663858575,-0.020997536547489593,0.025150306812107504,0.001941374663858575,-0.00157,-4.364528646161325e-06,-0.02057987907044523,,,,,,,,,,,,,,,,,
2022-01-24,1.0041830851134836,0.9423456176433128,1.0660205525836544,1.0021830851134836,0.00514162817068109,-0.040269371461480685,0.04901890431615463,0.0031397190704953726,-0.0014099999999999998,-3.919422834064434e-06,-0.04407006582617412,,,,,,,,,,,,,,,,,
2022-01-25,1.0051244607540106,0.9407223613470566,1.0695265601609645,1.0031244607540106,0.000937454189860798,-0.001722570006019497,0.003288874279968379,0.0009393250140721232,-0.0014299999999999998,-3.97505717109059e-06,0.0026844070961717925,,,,,,,,,,,,,,,,,
2022-01-26,1.004449096396924,0.9609814682720296,1.0479167245218186,1.002449096396924,-0.0006719211236587697,0.02153569188677862,-0.020205048143819404,-0.0006732607802018009,-0.0014000000000000002,-3.8916060821625464e-06,0.02219376867264189,,,,,,,,,,,,,,,,,
2022-01-27,0.9999791411810256,0.957630384482398,1.0423278978796533,0.9979791411810256,-0.004450156042683062,-0.0034871471513985286,-0.005333273638433056,-0.004459034610300505,-0.00146,-4.058510760129863e-06,-0.00873030935661423,,,,,,,,,,,,,,,,,
2022-01-28,1.0024940981826236,0.9598078704354864,1.045180325929761,1.0004940981826236,0.002515009461725004,0.002273827134531947,0.002736593787722841,0.0025200496661901273,-0.00148,-4.114147875156071e-06,-0.004288722956155455,,,,,,,,,,,,,,,,,
2022-01-31,1.005291848752427,0.9784079671565672,1.027579405394602,1.0012852742923866,0.0027907900653731943,0.019378979162404164,-0.016840080222043752,0.00079078538414179,-0.00149,-4.14196684950241e-06,0.016305810867976778,,,,,,,,,,,,,,,,,
2022-02-01,1.0014751148915717,0.9777536673716124,1.020600237457847,0.9974685404315314,-0.0037966426024361732,-0.0006687392242484824,-0.0067918526783581346,-0.0038118346078268583,-0.00132,-3.6690820672813373e-06,0.013849472130775364,,,,,,,,,,,,,,,,,
2022-02-02,1.0059584641063195,0.9852938736633676,1.0220267295955867,1.0019518896462791,0.0044767455007939105,0.007711764776116681,0.0013976992022781687,0.004494727435522039,-0.00134,-3.7247114044181018e-06,0.0075392826484528275,,,,,,,,,,,,,,,,,
2022-02-03,1.0044202719098687,0.960379950842264,1.0438642680237888,1.0004136974498283,-0.0015290812208805793,-0.02528577867684545,0.021366895596598656,-0.0015351956639293451,-0.0013,-3.6134538410337314e-06,-0.020892757918132943,,,,,,,,,,,,,,,,,
2022-02-04,1.0058211593291522,0.9477258551388276,1.0593201385657922,1.0018145848691118,0.0013947223671817444,-0.013176134812413198,0.014806398700919265,0.00140030811538705,-0.00132,-3.6690820672813373e-06,-0.016306609662895877,,,,,,,,,,,,,,,,,
2022-02-07,1.0052807441404663,0.9560570284213362,1.0510309242619962,0.9992716433890936,-0.0005372875522386966,0.00879069958610379,-0.007825032303283463,-0.002538335454909002,-0.00134,-3.7247114044181018e-06,0.006846153846153724,,,,,,,,,,,,,,,,,
2022-02-08,1.0035232237092635,0.9482695969899042,1.0553033148310225,0.9975141229578908,-0.0017482881687000962,-0.008145362881010199,0.0040649522962667994,-0.0017588014658777018,-0.0013,-3.6134538410337314e-06,-0.00634120253648085,,,,,,,,,,,,,,,,,
2022-02-09,1.0029519071948674,0.9697337846442154,1.0326964941479186,0.9969428064434944,-0.0005693107054208779,0.022635111072257352,-0.021422107147198388,-0.0005727402763002765,-0.00132,-3.6690820672813373e-06,0.0242195909580194,,,,,,,,,,,,,,,,,
2022-02-10,1.012260795081777,0.9703707384945228,1.050677316071431,1.006251694330404,0.009281489790418318,0.0006568337211652064,0.017411526063471516,0.009337434230674013,-0.0013800000000000002,-3.8359734119142175e-06,-0.0033405900457925686,,,,,,,,,,,,,,,,,
2022-02-11,1.0094322220613137,0.9620091395585876,1.053381768966439,1.0034231213099405,-0.002794312527173215,-0.008616911665027982,0.002574009026025559,-0.00281099951075936,-0.0012900000000000001,-3.585640144465607e-06,-0.010093021504161248,,,,,,,,,,,,,,,,,
2022-02-14,1.0065247126307464,0.934145009056734,1.0777208277102357,0.9985096327275066,-0.0028803414107685388,-0.028964517441735338,0.023105638867926936,-0.0048967264936246035,-0.00126,-3.5022007212059947e-06,-0.024196309682328332,,,,,,,,,,,,,,,,,
2022-02-15,1.00811763349724,0.9560088154008988,1.0590428630990578,1.0001025535940002,0.001582594889627753,0.023405152446558608,-0.017330986031755313,0.0015952984470890552,-0.00156,-4.336707449148491e-06,0.02132636749970751,,,,,,,,,,,,,,,,,
2022-02-16,1.0065844578427945,0.9446982537428886,1.0672870734481767,0.9985693779395544,-0.0015208301129767676,-0.011831022346030506,0.007784586097860036,-0.0015330184378954392,-0.0017000000000000001,-4.726229497320489e-06,-0.005764238815086253,,,,,,,,,,,,,,,,,
2022-02-17,1.0074384843421416,0.927437711768306,1.086255668421454,0.999423404438902,0.0008484399820531952,-0.0182709578494471,0.017772720615826243,0.0008552500389205075,-0.00151,-4.197605631528489e-06,-0.019197542714532556,,,,,,,,,,,,,,,,,
2022-02-18,1.0092654211317869,0.9064691646587696,1.1108780891102807,1.001250341228547,0.0018134474888937824,-0.022609116324972978,0.02266724253288177,0.00182799080102658,-0.00148,-4.114147875156071e-06,-0.01957330201605012,,,,,,,,,,,,,,,,,
2022-02-21,1.0101550151074397,0.8879986852815852,1.1387339102341447,1.0001140073942667,0.0008814271816182107,-0.0203762908847952,0.02507549783988816,-0.0011349148035105783,-0.0015,-4.169786101626549e-06,-0.022120183669395055,,,,,,,,,,,,,,,,,
2022-02-22,1.0110394560313232,0.9231419190498474,1.1053595583136495,1.0009984483181502,0.000875549703418077,0.0395757722964627,-0.02930829724183137,0.0008843401025728781,-0.00169,-4.698404687419888e-06,0.007962108529663947,,,,,,,,,,,,,,,,,
2022-02-23,1.0084581211152863,0.9114432466576224,1.1118955608738017,0.9984171134021136,-0.0025531495340147536,-0.012672669446390228,0.005913010396475515,-0.002578760157294635,-0.00149,-4.14196684950241e-06,-0.011139917362067542,,,,,,,,,,,,,,,,,
2022-02-24,1.0185639817145553,0.8963657096192285,1.1471848191107326,1.0085229740013824,0.010021100914029635,-0.01654248588015239,0.031737925286074775,0.010121882391251225,-0.0015,-4.169786101626549e-06,-0.023882675842857748,,,,,,,,,,,,,,,,,
2022-02-25,1.0138249321175397,0.91260972545864,1.12146270407729,1.0037839244043667,-0.004652677379224035,0.018122085288505785,-0.022421945099815432,-0.0046990001409815685,-0.00161,-4.4758162134339585e-06,0.027446701359744807,,,,,,,,,,,,,,,,,
2022-02-28,1.0198869142549134,0.9221860194680964,1.1168347167736754,1.0077489428052635,0.0059793184654792775,0.010493306987982898,-0.004126742054629817,0.003950071628462837,-0.00149,-4.14196684950241e-06,0.006290335756882648,,,,,,,,,,,,,,,,,
2022-03-01,1.0152239232598814,0.8998093244007973,1.129885429850911,1.0030859518102315,-0.004572066696667654,-0.024264838758025875,0.011685447167094187,-0.0046271355860236785,-0.00151,-4.197605631528489e-06,-0.022284461763273256,,,,,,,,,,,,,,,,,
2022-03-02,1.0186157495169084,0.9140072429037376,1.122471163862024,1.0064777780672585,0.0033409636823134026,0.01577880792955222,-0.006561962649492048,0.0033813914459730476,-0.00221,-6.145663487333586e-06,0.008593847303524749,,,,,,,,,,,,,,,,,
2022-03-03,1.0154150790644672,0.8833845803680878,1.1466924854927916,1.0032771076148173,-0.0031421764821122355,-0.03350374165347281,0.02157856915221834,-0.0031800706604645512,-0.0022,-6.117824494888957e-06,-0.024532806454268585,,,,,,,,,,,,,,,,,
2022-03-04,1.0111875358011622,0.8491117294832314,1.1725102498510378,0.9990495643515122,-0.004163364667777003,-0.03879720299235423,0.022514985216067762,-0.004213734402208846,-0.00228,-6.340544225214018e-06,-0.030213520128280824,,,,,,,,,,,,,,,,,
2022-03-07,1.0118680871339838,0.8491036964196335,1.18778060308704,0.997810052197668,0.0006730218764834373,-9.460549559081599e-06,0.013023641574086087,-0.0012406913511330275,-0.00252,-7.008810283815059e-06,-0.0032634235488643304,,,,,,,,,,,,,,,,,
2022-03-08,1.016572005147634,0.8553579807812219,1.1909341547527514,1.0025139702113182,0.004648746287644556,0.007365748598151756,0.002654995087068679,0.0047142419574646155,-0.00151,-4.197605631528489e-06,-0.0033177631291744225,,,,,,,,,,,,,,,,,
2022-03-09,1.005090240814564,0.8849111888376594,1.1384174180301747,0.9910322058782484,-0.011294590324078757,0.034550689559762704,-0.044097095135775755,-0.011452971902874864,-0.00264,-7.3430034439603276e-06,0.040296088651395,,,,,,,,,,,,,,,,,
2022-03-10,1.0094828284510595,0.8831276766019395,1.1489861055388857,0.995424793514744,0.004370341545586465,-0.002015470318623258,0.009283666378715694,0.004432335912436747,-0.00122,-3.390952044712847e-06,-0.005768178181971284,,,,,,,,,,,,,,,,,
2022-03-11,1.0138693868103226,0.9032546584000128,1.1376322404593382,0.9998113518740068,0.004345352130450619,0.022790568488938234,-0.009881638276402316,0.004406720013246046,-0.0015199999999999999,-4.2254254393192525e-06,0.018124841195900743,,,,,,,,,,,,,,,,,
2022-03-14,0.9988984960751672,0.903122892954614,1.0817664034385217,0.9830250295061876,-0.01476609406489171,-0.0001458785118608752,-0.04910711478980212,-0.016789489673582514,-0.00253,-7.036658182468791e-06,0.017095083603693606,,,,,,,,,,,,,,,,,
2022-03-15,1.0022450656205593,0.8949295073093776,1.0966529281745423,0.9863715990515798,0.003350259869787875,-0.009072282088245287,0.01376131176629447,0.0034043584292795526,-0.00252,-7.008810283815059e-06,-0.012023064654643645,,,,,,,,,,,,,,,,,
2022-03-16,1.0018678228754858,0.9308418441802394,1.0599861058135334,0.9859943563065062,-0.00037639770752062596,0.04012867670307685,-0.033435211286075295,-0.0003824549950913747,-0.0025900000000000003,-7.2037514211586995e-06,0.04420712777846769,,,,,,,,,,,,,,,,,
2022-03-17,1.0012414293341263,0.9313043354111452,1.058270827499909,0.9853679627651468,-0.0006252257304378839,0.0004968526434403486,-0.0016182082993511093,-0.0006352912035986202,-0.00255,-7.092354814997037e-06,0.0022198438181313396,,,,,,,,,,,,,,,,,
2022-03-18,1.0062525557627573,0.9469508569491836,1.0526465588191325,0.990379089193778,0.005004913182591331,0.016800653602810467,-0.0053145835022813115,0.005085538213124963,-0.0023699999999999997,-6.5911252097317075e-06,0.010797769252066658,,,,,,,,,,,,,,,,,
2022-03-21,1.0082114381356089,0.9441927212883636,1.0527437733943774,0.9902239298197364,0.0019467104571642135,-0.0029126492051614328,9.235253222494855e-05,-0.00015666664990665602,-0.00248,-6.897421473306409e-06,0.0012130223822195418,,,,,,,,,,,,,,,,,
2022-03-22,1.0053789705248164,0.9348645111787752,1.056407048282381,0.987391462208944,-0.002809398409554187,-0.009879561554827387,0.003479740256446373,-0.002860431388795104,-0.00255,-7.092354814997037e-06,-0.0020322820182123724,,,,,,,,,,,,,,,,,
2022-03-23,1.0030920518439248,0.916444605083303,1.07025311701607,0.9851045435280524,-0.002274683226860974,-0.019703289487635445,0.013106755351738109,-0.002316121587455755,-0.0025,-6.953115321728376e-06,-0.014646563540238855,,,,,,,,,,,,,,,,,
2022-03-24,1.0048517454973622,0.9026925150593142,1.0875245943469336,0.98686423718149,0.0017542693616230398,-0.015005915194119979,0.016137750085715608,0.0017863014286132461,-0.00246,-6.841728738327113e-06,-0.014188625253368392,,,,,,,,,,,,,,,,,
2022-03-25,1.0047797205018576,0.8979183232278938,1.092154736187345,0.9867922121859856,-7.167723579859508e-05,-0.0052888350703858,0.004257505406755291,-7.29836919717286e-05,-0.00249,-6.925268258295425e-06,-0.007297210127398812,,,,,,,,,,,,,,,,,
2022-03-28,1.0051758718742678,0.907861052460824,1.086913094765915,0.9852620732606564,0.0003942668868877064,0.011073088693844158,-0.004799357863637832,-0.0015506191743644981,-0.00252,-7.008810283815059e-06,0.010924745156966953,,,,,,,,,,,,,,,,,
2022-03-29,1.0100979736757938,0.9319212362718032,1.072697114557987,0.990184175062182,0.004896756815648828,0.026502055293331717,-0.013079224343128804,0.004995728481901551,-0.00255,-7.092354814997037e-06,0.024425518238791577,,,,,,,,,,,,,,,,,
2022-03-30,1.0164517030676985,0.9340967657440415,1.0832290438695586,0.996537904454087,0.006290211006743318,0.0023344563763152415,0.009818176229467346,0.006416714740473228,-0.00201,-5.588936495604102e-06,-0.007568627450980414,,,,,,,,,,,,,,,,,
2022-03-31,1.011471613814228,0.91839328787597,1.0889723432306888,0.9915578152006164,-0.004899484391083675,-0.016811403747408526,0.005302017512947899,-0.004997390697545789,-0.002,-5.561103066709094e-06,-0.009483542102975528,,,,,,,,,,,,,,,,,
2022-04-01,1.007317972820638,0.9223304794946529,1.0767278696248266,0.9874041742070264,-0.004106532439330235,0.004287043111768307,-0.011244062975498625,-0.004189005350887731,-0.00187,-5.199293796942506e-06,0.009773806199385726,,,,,,,,,,,,,,,,,
2022-04-04,1.0031328222613776,0.929655942962,1.0564013616224628,0.981288974884396,-0.004154746239205309,0.007942341308465606,-0.018878036480514226,-0.006193207890316521,-0.0019500000000000001,-5.421940093564004e-06,0.011575537294563842,,,,,,,,,,,,,,,,,
2022-04-05,1.0010043794293786,0.9224250217653986,1.059375397155066,0.979160532052397,-0.0021217956234357294,-0.007778061605848263,0.002815251513909045,-0.002169027561172654,-0.00198,-5.50543704314066e-06,-0.0019917984768600405,,,,,,,,,,,,,,,,,
2022-04-06,1.0081833165179372,0.9133094272738655,1.0828488658237163,0.9863394691409556,0.007171733946509828,-0.009882206441112262,0.022157838224002635,0.007331726365145785,-0.00201,-5.588936495604102e-06,-0.019449009939735418,,,,,,,,,,,,,,,,,
2022-04-07,1.0076365867835395,0.9127017639012304,1.0823630697275564,0.985792739406558,-0.0005422919874195076,-0.000665342275562586,-0.000448627792383971,-0.0005543017911204817,-0.0020499999999999997,-5.700272992625877e-06,-0.00031927205970383454,,,,,,,,,,,,,,,,,
2022-04-08,1.0145450504024724,0.9192097768834008,1.0896719839832518,0.992701203025491,0.006856106367659098,0.007130492390365006,0.006752738023050986,0.007008028506166442,-0.00191,-5.3106147207548915e-06,0.005908419497784312,,,,,,,,,,,,,,,,,
2022-04-11,1.01796583349742,0.9096098789583806,1.1104217754153496,0.993836410032845,0.0033717409528444264,-0.010443642100466777,0.019042236321656913,0.001143553572710676,-0.002,-5.561103066709094e-06,-0.018216454339802346,,,,,,,,,,,,,,,,,
2022-04-12,1.0165457059798912,0.9181811214012586,1.0990102779374142,0.9924162825153164,-0.0013950640294572159,0.009422987415982353,-0.010276723431208779,-0.0014289348862571716,-0.00232,-6.451910768645597e-06,0.004527447651386574,,,,,,,,,,,,,,,,,
2022-04-13,1.015048400974416,0.9172190460930872,1.0969777432346353,0.9909189775098411,-0.0014729342681467639,-0.0010478055862258584,-0.001849422833964387,-0.0015087469158409084,-0.00214,-5.950796382880874e-06,-0.0012877263581488885,,,,,,,,,,,,,,,,,
2022-04-14,1.0180976314317849,0.9197422768296842,1.1005529734127752,0.9939682079672096,0.00300402468930705,0.002750957633669726,0.0032591638255101696,0.00307717434681809,-0.00115,-3.1962775512983654e-06,,,,,,,,,,,,,,,,,,
2022-04-19,1.0217832150306605,0.914703877941308,1.112962539498903,0.9976537915660854,0.003620068925700659,-0.005478055119683467,0.01127575535746006,0.003707949177180536,-0.00104,-2.890387976295372e-06,-0.002095253445080214,,,,,,,,,,,,,,,,,
2022-04-20,1.015267270138196,0.9037259565578416,1.1117173575657333,0.9892141394365818,-0.006377032619653056,-0.012001612377739224,-0.001118799500412826,-0.00845949987946748,-0.00105,-2.9181947314160794e-06,0.003432124687070992,,,,,,,,,,,,,,,,,
2022-04-21,1.0139474997563485,0.8976472179604091,1.1151565553994705,0.9878943690547342,-0.0012999240896122144,-0.006726307409145926,0.0030935901201252225,-0.0013341604504352178,-0.00109,-3.0294245280115817e-06,0.00559333628425418,,,,,,,,,,,,,,,,,
2022-04-22,1.01495474514092,0.8712628919262526,1.1435553722027705,0.988901614439306,0.0009933900767185033,-0.029392756426188993,0.02546621518368508,0.0010195881423391562,-0.00089,-2.47331995562039e-06,-0.019567827130852367,,,,,,,,,,,,,,,,,
2022-04-25,1.0157353981059616,0.847725082666033,1.168654487393073,0.9896822674043474,0.0007691505151130595,-0.02701573713093708,0.02194831645270967,0.0007894141880675498,-0.00068,-1.8895296172161125e-06,-0.024774499000040806,,,,,,,,,,,,,,,,,
2022-04-26,1.0217711956525706,0.8365938670096054,1.191857298142719,0.9957180649509564,0.005942293197484183,-0.013130690460898875,0.01985429483217449,0.006098722534899181,-0.00061,-1.694960023779224e-06,-0.021386122039005584,,,,,,,,,,,,,,,,,
2022-04-27,1.0216531450071502,0.8522007661657933,1.18908606836897,0.993457715844398,-0.00011553530371832821,0.01865528755544754,-0.0023251355494213755,-0.002270069396270058,8.999999999999999e-05,2.4998878189741447e-07,0.011589616387974067,,,,,,,,,,,,,,,,,
2022-04-28,1.0136709233425787,0.8287141923454766,1.1966081988601438,0.9854754941798266,-0.007813044675270553,-0.027559906952427493,0.006325976471570183,-0.008034787527707588,0.0028299999999999996,7.850039392076624e-06,-0.0011414559905300603,,,,,,,,,,,,,,,,,
