,p_pct,l_pct,s_pct,pac_pct,p,l,s,pac,riskfree,riskfree_daily,benchmark,p_return_ann,l_return_ann,s_return_ann,pac_return_ann,benchmark_return_ann,p_alpha,l_alpha,s_alpha,pac_alpha,p_sr,l_sr,s_sr,pac_sr,p_std_dev,l_std_dev,s_std_dev,pac_std_dev,total_trades
2022-01-11,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,0.005721889554225035,0.19728118007263684,-0.11212121097206407,0.6043757197606363,0.08414558211312473,-0.24520822130235997,0.1753733938099318,-0.03568580741422833,0.4313864942445066,0.06482130165116445,1.9430121719363298,-0.4822086818001284,3.4887852710724574,0.6850744328477792,0.09373402791653858,0.2639438871218864,0.1688899863628828,0.10070549402953935,7506.0
2022-01-12,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,-0.000352827026550262,,,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,-0.0014559251742697343,,,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,-0.013917730747139201,,,,,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,-0.0017299999999999998,-4.809705594799318e-06,-0.008110045703019986,,,,,,,,,,,,,,,,,,
2022-01-18,1.0033931384070132,0.9898198949979476,1.0169663818160786,1.0033931384070132,,,,,-0.0014099999999999998,-3.919422834064434e-06,-0.00682115914532222,,,,,,,,,,,,,,,,,,
2022-01-19,1.0020890634823365,0.988512425925639,1.0156657010390335,1.0020890634823365,-0.0012996649815116834,-0.001320916137285022,-0.0012789810954442205,-0.0012996649815116834,-0.0014099999999999998,-3.919422834064434e-06,-0.002683525880105564,,,,,,,,,,,,,,,,,,
2022-01-20,0.9989437164122776,0.9942748436778088,1.003612589146747,0.9989437164122776,-0.0031387899386193796,0.005829383223760587,-0.011867203824994954,-0.0031387899386193796,-0.00146,-4.058510760129863e-06,0.02070506681260542,,,,,,,,,,,,,,,,,,
2022-01-21,0.9982865458275576,0.979674450953402,1.0168986407017129,0.9982865458275576,-0.0006578654772265713,-0.014684463573874762,0.013238227278776549,-0.0006578654772265713,-0.00157,-4.364528646161325e-06,-0.02721058040302038,,,,,,,,,,,,,,,,,,
2022-01-24,1.0087061715581902,0.9357827080536336,1.0816296350627468,1.0067061715581902,0.01043750992556447,-0.044802375786215265,0.06365530621258975,0.008434077135290652,-0.0014099999999999998,-3.919422834064434e-06,-0.05658644130075319,,,,,,,,,,,,,,,,,,
2022-01-25,1.0023417837007105,0.928679864775134,1.0760037026262868,1.0003417837007105,-0.006309456645485212,-0.00759026985364275,-0.00520134827494223,-0.006321991497905355,-0.0014299999999999998,-3.97505717109059e-06,0.0006815968841284992,,,,,,,,,,,,,,,,,,
2022-01-26,1.0077080888511685,0.9558366283496924,1.0595795493526448,1.0057080888511685,0.005353767784323171,0.02924233054318881,-0.01526403044297553,0.005364471661481129,-0.0014000000000000002,-3.8916060821625464e-06,0.03138075313807542,,,,,,,,,,,,,,,,,,
2022-01-27,1.010248935634612,0.9588822468223064,1.0616156244469177,1.008248935634612,0.0025214115194214237,0.003186337897379321,0.0019215877614067178,0.0025264257209525187,-0.00146,-4.058510760129863e-06,4.7172036416798235e-05,,,,,,,,,,,,,,,,,,
2022-01-28,1.011638056158497,0.9578980366995714,1.0653780756174225,1.009638056158497,0.001375027950920149,-0.0010264139585404175,0.003544080441040043,0.0013777555073843928,-0.00148,-4.114147875156071e-06,-0.0009433962264150386,,,,,,,,,,,,,,,,,,
2022-01-31,1.0150438404795985,0.9706508640477686,1.0549187729645595,1.0110178621998394,0.0033666035993489274,0.013313345324453163,-0.009817456255425072,0.0013666343427982675,-0.00149,-4.14196684950241e-06,0.026440037771482405,,,,,,,,,,,,,,,,,,
2022-02-01,1.0158269741876795,0.981725197851128,1.0454107065773628,1.0118009959079206,0.0007715269792789581,0.011409183480430629,-0.009013079140185232,0.000774599279954602,-0.00132,-3.6690820672813373e-06,0.014949402023919145,,,,,,,,,,,,,,,,,,
2022-02-02,1.011670935928096,0.9852270018633412,1.0335968260459825,1.007644957648337,-0.004091285588184945,0.003566990049637342,-0.011300707422500555,-0.0041075649029720385,-0.00134,-3.7247114044181018e-06,-0.0004532064355313725,,,,,,,,,,,,,,,,,,
2022-02-03,1.0128045148156426,0.9762302418344696,1.0448607438499469,1.0087785365358837,0.0011205015853368305,-0.009131662055400613,0.010897786757970707,0.0011249784747517921,-0.0013,-3.6134538410337314e-06,-0.020040807073226086,,,,,,,,,,,,,,,,,,
2022-02-04,1.0122979166265476,0.964943512889105,1.0551342764171217,1.0082719383467886,-0.0005001934545949549,-0.011561544051488681,0.009832441909263911,-0.0005021896984790386,-0.00132,-3.6690820672813373e-06,-0.007680562624346465,,,,,,,,,,,,,,,,,,
2022-02-07,0.9983859212788656,0.9459205544197454,1.0471714500206335,0.9924039777420244,-0.013742985260745466,-0.019714064310773494,-0.007546742224626812,-0.015737778669891456,-0.00134,-3.7247114044181018e-06,-0.002564461230008863,,,,,,,,,,,,,,,,,,
2022-02-08,1.0017529412041446,0.9470645613603308,1.0527614829306056,0.9957709976673031,0.0033724633466045706,0.001209411229347035,0.005338221272038979,0.0033927916461395924,-0.0013,-3.6134538410337314e-06,-0.011593118922961776,,,,,,,,,,,,,,,,,,
